id,persona,scenario,route,component_file,screen_area,friction,severity(1-4),frequency(daily/weekly/rare),evidence,suggested_fix,burden_type(tutor|child|parent|admin)
T3-01,T3,5,/{portal}/learninghub?tab=home,features/learninghub/remotesync/TutorLiveBanner.tsx,Broadcast banner,No way to end a forgotten broadcast; banner shows '0 of 8 connected' for up to 6h; Leave keeps it live,4,weekly,"TutorLiveBanner.tsx:29; RemoteSyncApp.tsx:247,284-285; api.ts:51 endRemoteSync has no UI caller",Add End broadcast (confirm) calling endRemoteSync; auto-hide after ~45 min idle,tutor
T3-02,T3,6,/{portal}/learninghub?tab=home,features/learninghub/inperson/SetupStep.tsx,Setup: who is here,No register step; attendance is a tick in setup with no record or export,3,daily,SetupStep.tsx:153-160; InPersonApp.tsx:173,"Register-first step: names as big toggles, all ticked, Start beside it; show attendance summary on finish",tutor
T3-03,T3,6,/{portal}/learninghub?tab=home,features/learninghub/inperson/CaptureGrid.tsx,Capture grid at 20 kids,Row-per-child scroll per question; only Everyone got it as bulk; no by-child view,3,daily,"CaptureGrid.tsx:84,121-125; CLASS_MAX 30 inPersonApi.ts:56",Add by-child mode and Everyone the same answer / all except,tutor
T3-04,T3,b,/{portal}/learninghub,features/learninghub/inperson/InPersonApp.tsx,Mark the class failure,"Hand-in failure shows a page-top red bar after the confirm dialog closes; no retry, no offline state",3,weekly,InPersonApp.tsx:125; CaptureGrid.tsx:57-61,"Keep dialog open on error, show Saved on this tablet N unrecorded, auto-retry on reconnect",tutor
T3-05,T3,b,/{portal}/learninghub,features/learninghub/inperson/CaptureGrid.tsx,Paper load,Quiz/lesson fetch has no retry when offline at open; only Back,3,weekly,"CaptureGrid.tsx:38-42,55; InPersonApp.tsx:97-101",Retry button; cache paper in localStorage at session start,tutor
T3-06,T3,6,/{portal}/learninghub,features/learninghub/inperson/SetupStep.tsx,Setup what to teach,Defaults to Interactive lesson; 13 year buttons; primary button says Start the lesson for a quiz,2,daily,"SetupStep.tsx:71,146,183",Remember last mode/quiz/group; collapse year filter; label Start,tutor
T3-07,T3,4,/{portal}/learninghub?tab=students,features/learninghub/StudentsPanel.tsx,Enrol then group,Enrol and group assignment are separate flows (~10 taps); enrol needs subjects,3,weekly,"StudentsPanel.tsx:196,379-399",Group picker in Enrol modal preset to current group filter,tutor
T3-08,T3,2,/{portal}/learninghub,features/learninghub/inperson/ResultsPanel.tsx,Results to marking,Written answers show 'written to mark' but no link to marking queue; one child at a time,2,daily,ResultsPanel.tsx:88; quiz/MarkingQueue.tsx:21,Link N to mark opening the queue filtered to this session,tutor
T3-09,T3,2,/{portal}/learninghub?tab=homework,features/learninghub/homework/MarkDialog.tsx,Homework marking,No bulk or same-mark-for-all; ~4 taps plus feedback per child,2,daily,MarkDialog.tsx:14; TutorHomework.tsx:256-258,Apply mark to selected; keep canned feedback,tutor
T3-10,T3,a,/{portal}/learninghub?tab=home,features/learninghub/home/TutorHome.tsx,Quick actions,"Teach in person is the 6th and last tile, below hero and stat tiles at 768; portal is drawer mode below 1024",2,daily,TutorHome.tsx:176-189,Make Teach in person the first tile / sticky,tutor
T3-11,T3,5,/{portal}/learninghub?tab=live,features/learninghub/remotesync/RemoteSyncApp.tsx,Leave lesson,Red Leave lesson button (testid remote-sync-end) does not end; parents' banner stays,3,weekly,"RemoteSyncApp.tsx:247,284-285",Split into Leave and End for everyone,tutor
T3-12,T3,4,/{portal}/learninghub,features/learninghub/inperson/InPersonApp.tsx,Add child mid-session,Add-in-session only for enrolled active children; walk-ins impossible,2,rare,InPersonApp.tsx:191-196,Allow guest name tally or quick enrol link,tutor
T3-13,T3,b,/{portal}/learninghub,features/learninghub/inperson/useClassState.ts,Blocked storage,Private window/blocked localStorage silently loses taps on refresh,2,rare,"useClassState.ts:26,35",Show a warning when storage write fails,tutor
T3-14,T3,b,/{portal}/learninghub,features/learninghub/inperson/InPersonApp.tsx,Attendance offline,Attendance toggles are server PUTs; offline gives an error and no toggle,2,weekly,InPersonApp.tsx:119-123,"Optimistic local attendance, sync later",tutor
