id,persona,scenario,route,component_file,screen_area,friction,severity(1-4),frequency(daily/weekly/rare),evidence,suggested_fix,burden_type(tutor|child|parent|admin)
T4-01,T4,#9 #3,/freelancer/learninghub (Students),lib/hubConfig.ts,Settings,"No per-child accommodations: extra time, no timer, reading options, reduce motion, hide streaks, read-aloud",4,daily,HubSettings has only marking/retake/homework/mastery keys (hubConfig.ts:7-43),"Add a small per-child Support profile stored on the enrolment, read by quiz/lesson/home",tutor
T4-02,T4,#9,Quizzes > New quiz; child quiz runner,shared-assess/TakeAssessment.tsx,Timer pill + intro,Extra time needs a cloned quiz; clock keeps running when child leaves; red pill last 60s; auto hand-in at zero,4,weekly,"TakeAssessment.tsx:77,140-147,260,278,287,354; AssessmentBuilder.tsx:190-193",Per-child timing override (Normal/+25%/+50%/No timer) applied server-side; hide clock digits unless asked,child
T4-03,T4,C4 #1 #2 #4,Student home; lesson player,home/StudentHome.tsx,Hero streak strip; lesson header pills,"Flame streak, XP, confetti and streak reset on a wrong answer cannot be turned off",4,daily,"StudentHome.tsx:138-142; LessonPlayer.tsx:255-258,292,315-316; DoneStep.tsx:40","Calm mode flag (per child, or tenant): hide streak, XP, confetti, week dots",child
T4-04,T4,C4 #1 #2,Home Homework card; Homework tab,homework/hwTypes.ts,"Due chips, red tone, late pill","'Overdue by N days', red warning icon, 'Handed in late', 'it'll be marked as late'; one due date for all assigned",3,weekly,"hwTypes.ts:44,48; StudentHome.tsx:179,194; StudentHomework.tsx:190,333; HomeworkForm.tsx:167-169","Neutral wording ('Due Friday', 'Still to do'), no red for child; per-child due date",child
T4-05,T4,#13,Tools tab,tools/registryData.ts,Tool tiles,"Read-aloud X-08, Accessibility panel X-09, Timer X-03 are In build; size/spacing only in 2 writing tools and not remembered",3,weekly,"registryData.ts:177,182,183; readingOptions.tsx:6,10-15; ToolsPanel.tsx:18",Build X-08/X-09 first; persist reading options per child,tutor
T4-06,T4,#3,Homework > Set homework,homework/HomeworkForm.tsx,Dialog,"8 fields, free-text instructions, default 7 days, child sees a blank 7-row answer box",3,weekly,HomeworkForm.tsx:142-223; StudentHomework.tsx answer textarea (rows=7),"'Short task' preset: due tomorrow, numbered steps shown one at a time, extras collapsed, 'notify later'",tutor
T4-07,T4,C4 #1,Student home,home/StudentHome.tsx,Whole page,"~8 blocks, 3 moving items (countdown, week dots, flame), 4 competing buttons",3,daily,StudentHome.tsx:104-270; NextLesson.tsx:24,"'Today, one thing' card top; rest under More; hide live countdown unless lesson is within an hour",child
T4-08,T4,#9 C4 #2,Quiz result; retake,shared-assess/retake.tsx,Retake break,"After 3 fails in a row, 30-min lock tenant-wide default; only fix is tutor grant per attempt",2,weekly,"hubConfig.ts:33-36,78-79; retake.tsx:43,66",Per-child override (off / shorter) in Support profile,child
T4-09,T4,#13,Tools tab,tools/ToolsPanel.tsx,Grid,138 greyed tiles by default; light scope overrides dark/contrast; Tools not in child tabs,2,weekly,"ToolsPanel.tsx:18,77-78; lightScope.ts:5-8; KidMode.tsx:15",'Ready to use only' on by default; honour theme; let tutor pin tools to a child,tutor
T4-10,T4,C4 #2,Quiz runner,shared-assess/TakeAssessment.tsx,"Text answer, review step",Enter in a text box moves to next question without a save cue; 'Unanswered questions score no marks' warning; slide animation only stops with OS reduce-motion,2,daily,"TakeAssessment.tsx onKeyDown (Enter next), review notice ~:354; HubTabs.tsx:17",Show 'Saved' tick on Enter; soften copy; per-child reduce-motion,child
