id,persona,scenario,route,component_file,screen_area,friction,severity(1-4),frequency(daily/weekly/rare),evidence,suggested_fix,burden_type(tutor|child|parent|admin)
X1-01,X1,any user live lesson,hub/live,features/learninghub/live/board/BoardCanvas.tsx,Whiteboard canvas,No keyboard way to draw a stroke or create text/shape/sticky; keys only switch tool/nudge/delete existing elements,4,daily,BoardCanvas.tsx:121-127; controller.ts:1183-1215 (creation only via pointerDown/Move/Up),Add keyboard "add text/sticky/shape at centre" actions and arrow-nudge; document in aria-label,tutor
X1-02,X1,tutor clear attention,hub/home,features/learninghub/home/TutorHome.tsx,Needs your attention rows,Row switches tab but focus is dropped to body; keyboard/SR user must re-tab from top,4,daily,TutorHome.tsx:169-173; homeKit.tsx:31; LearningHubApp.tsx:263 tabpanel tabIndex -1 never focused,On go() move focus to the new tabpanel heading and announce destination,tutor
X1-03,X1,child quiz with tool question,hub/quizzes take,features/learninghub/shared-assess/ui.tsx,Dialog Escape stack,Assessment dialog handles Escape on document with stopPropagation so ToolHost (window) cannot close; Escape may close the quiz dialog instead,3,weekly,ui.tsx:236-252; ToolHost.tsx:47; both focus traps active,Single modal stack; nested dialog handles Escape first and traps only itself,child
X1-04,X1,child quiz,hub/quizzes take,features/learninghub/shared-assess/TakeAssessment.tsx,Timer,Time limit auto-submits with no extra-time or pause; timer is role=timer with aria-label changing each second and no polite warning at 5/1 min,3,weekly,TakeAssessment.tsx:77-78,147,278,287,Per-child extra-time multiplier; announce warnings via aria-live; allow tutor to turn off,child
X1-05,X1,any,hub all,app/globals.css,Colour tokens,White on --green (2.74) --sem-ok (2.28) --sem-warn (2.15) --sem-info (3.23) --sem-crit (3.76); gold text 1.79,3,daily,lessonUi.tsx:39; CaptureGrid.tsx:185; PadBoard.tsx:50; WorkView.tsx:101; Lobby.tsx:41; LessonNotesEditor.tsx:141; AreaDrawer.tsx:117,Use --hub-green-fill / --hub-red-ink / dark text on gold everywhere; retire raw --green as a text/fill-with-white colour,child
X1-06,X1,any dark portal,app/globals.css,app/globals.css,Dark tokens,Global --ink-3 3.81:1 on panel and custdash --ink-3 3.3:1; --brand on dark surface 1.70,3,daily,globals.css:16,126; computed ratios,Lift --ink-3 to >=4.5 on every surface; add brand-on-dark token,parent
X1-07,X1,child quiz,hub/quizzes,features/learninghub/shared-assess/TakeAssessment.tsx,Timer chip,Urgent timer red on red-soft 4.12:1 at 13px,2,weekly,TakeAssessment.tsx:278,Use --hub-red-ink,child
X1-08,X1,any,hub forms,features/learninghub/kit.tsx,Form controls,Field and tile borders (--line/--hub-warm-line) are 1.2-1.3:1; no 3:1 boundary for controls,3,daily,kit.tsx:110-118; MatchOrder.tsx:98,Use a 3:1 border token for inputs slots and tiles,child
X1-09,X1,any,hub all,features/learninghub/LearningHubApp.tsx,Page structure,No h1 and no document.title update on tab change; heading levels skip (h4 first),3,daily,LearningHubApp.tsx:253-263; NotesPanel.tsx:721,Add one h1 per panel and set document.title per tab,tutor
X1-10,X1,any user curriculum,hub/curriculum,features/learninghub/curriculum/CurriculumCard.tsx,Subject tabs,role=tablist/tab without roving tabindex arrows or tabpanel,2,weekly,CurriculumCard.tsx:127-129,Implement pattern or switch to aria-pressed buttons,tutor
X1-11,X1,parent switch child,hub/family,features/learninghub/family/FamilyContext.tsx,Who's learning picker,Switching child changes all data with no announcement,2,daily,FamilyContext.tsx:92,Add role=status "Now showing <name>" and move focus to panel heading,parent
X1-12,X1,any,hub loading,features/learninghub/kit.tsx,Skeletons,role=status with only aria-label and no text; may not announce,2,daily,kit.tsx:200; LearningHubApp.tsx:146,Add sr-only "Loading" text inside the live region,any
X1-13,X1,child quiz,hub/quizzes,features/learninghub/shared-assess/MatchOrder.tsx,Match put-back,Removing a placed tile by keyboard relies on selecting it then activating a non-focusable pool div,2,daily,MatchOrder.tsx:245,Add "Put back" button/Delete key on placed tile,child
X1-14,X1,tutor homework,hub/homework,features/learninghub/homework/HomeworkForm.tsx,Form errors,No aria-invalid/aria-describedby in quiz homework or marking forms; errors in banner not tied to field,2,daily,grep shared-assess homework quiz: none; kit.tsx:387,Link errors to fields; focus first invalid,tutor
X1-15,X1,any user live lesson,hub/remotesync,features/learninghub/remotesync/FloatingPanel.tsx,Floating window,Resize is pointer only; focus ring uses --brand (1.7:1 on dark); window may cover focused item,2,weekly,FloatingPanel.tsx:88-98,122-124,Ctrl+arrow resize; use --brand-2 ring,tutor
X1-16,X1,any user live lesson,hub/live,features/learninghub/live/board/BoardCanvas.tsx,Board shortcuts,Single-letter shortcuts stay active after toolbar click; no off switch,2,daily,BoardCanvas.tsx:64-83; controller.ts:1200,Scope to canvas focus or add setting,tutor
X1-17,X1,parent,hub all,features/learninghub/shared-assess/TakeAssessment.tsx,Small text,447 uses of 11-11.5px; key status line "Question n of m" at 11.5px ink-3,2,daily,TakeAssessment.tsx:274,Min 12.5-14px for status text,parent
X1-18,X1,child,hub/family,features/learninghub/family/ParentGate.tsx,Parent gate,Maths-sum gate is a cognitive barrier and error text 13px --red,2,rare,ParentGate.tsx:28-31,Offer alternative gate; use --hub-red-ink,parent
X1-19,X1,tutor,hub/students,features/learninghub/tools/maths/CoordGrid.tsx,Coordinate grid,Points draggable by pointer; keyboard needs typed x/y entry; chips 32px,1,weekly,CoordGrid.tsx:46-54,102-104,Arrow-key move for selected point; chips to 44px,child
X1-20,X1,any,hub all,features/learninghub/HubTabs.tsx,Tab strip,Automatic activation on arrows fires a panel load per key; Soon tabs aria-disabled yet openable,2,daily,HubTabs.tsx:65-77,118,Use manual activation (Enter/Space) or debounce; drop aria-disabled,any
