id,persona,scenario,route,component_file,screen_area,friction,severity(1-4),frequency(daily/weekly/rare),evidence,suggested_fix,burden_type(tutor|child|parent|admin)
T2-01,T2,a,/company/learninghub?tab=home,features/learninghub/home/TutorHome.tsx,Needs your attention,"Counts are business-wide; no per-tutor view of overdue/unmarked/quiet, so I cannot see which tutor is behind",4,weekly,TutorHome.tsx:165-172; tutorUid only used for mine filter (StudentsPanel.tsx:369),"Add tutor filter/column (group by tutorUid) to attention card, Students and Homework",admin
T2-02,T2,"a,f",/company/learninghub?tab=home,features/learninghub/home/TutorHome.tsx,Scope toggle vs attention,"My/Everyone toggle on Home only scopes lessons; attention counts, feed and nudges stay business-wide",3,weekly,TutorHome.tsx:90-104 (only lessons filtered) vs :158 toggle,"Apply scope to inbox, attempts, quiet and nudges",tutor
T2-03,T2,b,/company/setup?tab=hub,features/setup/SetupApp.tsx,Marking & progress,"Pass mark change only affects NEW quizzes; existing quizzes keep old mark, no count or apply-to-all",3,rare,"SetupApp.tsx:2527 hint; AssessmentBuilder.tsx:42,129",Show 'N quizzes use another pass mark' with Apply to all,admin
T2-04,T2,b,/company/setup?tab=hub,features/learninghub/quiz/AssessmentBuilder.tsx,Quiz builder,Show right answers has no per-quiz override though pass mark and retakes do; inconsistent rule model,2,rare,AssessmentBuilder.tsx:129 body lacks reveal; hubRules.ts:299 tenant only,Add optional per-quiz 'answers' select defaulting to tenant rule,tutor
T2-05,T2,b,/company/learninghub (hero),features/learninghub/HubHero.tsx,Hero settings link,"Hub rules are outside the hub: icon-only gear leaves to Setup, no visible 'Settings' word or in-hub rules summary",3,rare,HubHero.tsx:72 aria-label only; SetupApp.tsx:2523,Text link 'Marking rules' in hub; show current pass mark/reveal read-only in Quizzes tab,admin
T2-06,T2,d,/company/learninghub?tab=dashboard,features/learninghub/progress/ProgressView.tsx,Most recent progress,"Progress is 'last 20 quiz scores', not the term; no date range; placement baseline excluded; 'Quizzes taken' caps at 20+",3,rare,"ProgressView.tsx:80,96-98; TrendChart.tsx:13",Add 'Since date' range and start-vs-now band incl. placement,parent
T2-07,T2,d,/company/learninghub?tab=dashboard,features/learninghub/progress/ProgressView.tsx,Student progress,No print / PDF / share for a parent; screen also shows tutor controls so screenshots are not parent-ready,4,weekly,no print handler in progress/ or ProgressPanel.tsx,Print/save-as-PDF parent summary per student,parent
T2-08,T2,e,/company/learninghub,features/learninghub/panels.tsx,Tab strip,"All 11 tabs always shown; cannot hide Placement test, Flashcards, Tools, Curriculum for a camp or single-tutor tenant",3,daily,panels.tsx:31 fixed TAB_ORDER; HubTabs has no feature flag,Hub setting 'Tabs to show',admin
T2-09,T2,a,/company/learninghub?tab=home,features/learninghub/home/ClassSnapshot.tsx,Student snapshot,Snapshot shows 8 students x 6 subjects max of 120; the rest is '+112 more students',2,weekly,"ClassSnapshot.tsx:14,52,119","Link 'See all 120' straight to Progress grid, sorted by need",admin
T2-10,T2,f,/company/learninghub?tab=students,features/learninghub/mineKit.tsx,Scope toggle,Only Mine/Everyone; no pick-a-tutor; hidden for owner until a student has another tutorUid; label 'lessons' vs 'students' under one stored key; localStorage per browser not per login,3,weekly,"mineKit.tsx:13,29-40; StudentsPanel.tsx:326-327; TutorHome.tsx:158",Tutor picker for owners; key per uid; consistent label,admin
T2-11,T2,g,/company/learninghub?tab=tools,features/learninghub/tools/ToolsPanel.tsx,Tools tab,Tools is a whole tab for owner-irrelevant content; subject chips fixed (not tenant subjects); unbuilt tools shown with 'isn't ready yet',2,weekly,"ToolsPanel.tsx:65,80; registry.ts",Hide unbuilt tools; tenant-subject filter; hideable tab,tutor
T2-12,T2,"g,e",/company/learninghub?tab=notes,features/learninghub/curriculum/CurriculumCard.tsx,Lessons top card,NC 2014 curriculum card sits above every lesson list and is duplicated in Progress; UK-NC only,2,weekly,NotesPanel.tsx:646; CurriculumRings.tsx:12; CurriculumCard.tsx:61,Collapse by default to one summary line; hide for non-NC tenants,tutor
T2-13,T2,c,/company/learninghub?tab=homework,features/learninghub/homework/TutorHomework.tsx,Homework lists,"Only one homework default (due days); cannot see or standardise how each tutor assigns (groups vs individual, content type); no tutor name on rows",2,weekly,"SetupApp.tsx:2561; HomeworkForm.tsx:46,169",Show tutor on homework/quiz rows; filter by tutor,admin
T2-14,T2,f,/franchise/learninghub,features/learninghub/quiz/AssessmentList.tsx,Franchise content,Franchise cannot tell head-office read-only content from its own; only a lone 'Everyone' chip,2,weekly,AssessmentList.tsx:274; hubCore.ts:187-191,Badge 'From head office' on read-only rows,tutor
T2-15,T2,a,/company/learninghub,features/learninghub/HubHero.tsx,Hero stats,Hero + 4 vanity stat tiles (subjects/topics/lessons/worksheets/students) push oversight content down; none are per-tutor,2,daily,HubHero.tsx:150; 01b-actions.csv 90 words,Replace tiles with tutor-level overdue/unmarked summary,admin
