id,persona,scenario,route,component_file,screen_area,friction,severity,frequency,evidence,suggested_fix,burden_type
C3-01,C3,1 what now,/custdash/learninghub,features/learninghub/family/KidMode.tsx,Kid bar / mode choice,No teen mode: only a parent view or Kid mode titled "{name}'s learning" with a "Grown-ups" lock,4,daily,KidMode.tsx:52-58; FamilyContext.tsx:114,Add a "Student" (13+) display mode: same tabs incl. Progress and Tools; drop the parent lock and the childish header,child
C3-02,C3,4 progress,/custdash/learninghub?tab=dashboard,features/learninghub/family/KidMode.tsx,KID_TABS,Kid mode hides Progress Tools and Live so weak topics are unreachable there,4,daily,KidMode.tsx:15,Add dashboard (and tools) to KID_TABS or the teen mode,child
C3-03,C3,4 progress,/custdash/learninghub?tab=dashboard,features/learninghub/progress/ProgressView.tsx,Subject cards topic list,Subjects and topics are sorted A-Z so the weakest topic is buried in a long GCSE list,4,daily,ProgressView.tsx:48 and :109,Sort topics weakest-first (untried last) or add a Weakest pill row above the list,child
C3-04,C3,4 progress,/custdash/learninghub?tab=home,features/learninghub/home/StudentHome.tsx,Mastery snapshot Focus next,"Focus next shows one topic and is a non-tappable div so I cannot act in two taps",3,daily,StudentHome.tsx:241 and :277-288,Make the topic row a button that opens a quiz or lesson for that topic; show the lowest 3,child
C3-05,C3,2 quiz,/custdash/learninghub?tab=quizzes,features/learninghub/shared-assess/ResultView.tsx,Result banner actions,"Review these N topics" only scrolls to the same page and starts no practice,3,daily,ResultView.tsx:107-108; ResultBanner.tsx:77-81,Link each weak topic to a filtered quiz or flashcards for that topic,child
C3-06,C3,5 finished early,/custdash/learninghub?tab=home,features/learninghub/home/StudentHome.tsx,Keep going card,"No revision plan: when done the app says "Every quiz done — brilliant." and nothing else",3,daily,StudentHome.tsx:266,When nothing is due show "Revise your weakest" with 3 topic buttons from mastery data,child
C3-07,C3,2 quiz,/custdash/learninghub?tab=quizzes,features/learninghub/shared-assess/ResultView.tsx,Result headline copy,Primary-school praise: "Brilliant, you passed!" "Nearly there" and kid levels "Getting there!" / "Got it!",2,daily,ResultView.tsx:113-114; KidMode.tsx:17,Neutral wording: "Passed 72%" "6 marks below the pass mark"; keep raw band names for teens,child
C3-08,C3,1 what now,/custdash/learninghub?tab=home,features/learninghub/home/StudentHome.tsx,Hero streak flame,Flame streak and week dots read as a kids' game; parent summary card ("Emailing me about...") leads the page,2,daily,StudentHome.tsx:87-99 and :138-144,Hide flame and parent card in teen mode; keep a plain "5 days active" text stat,child
C3-09,C3,1 what now,/custdash/learninghub?tab=home,features/learninghub/home/StudentHome.tsx,Home order,The one clear next step ("Keep going") is the last card so at 390px it is below several screens,3,daily,StudentHome.tsx:246-255,Move the next-step card directly under the greeting,child
C3-10,C3,a curriculum,/custdash/learninghub?tab=notes,features/learninghub/curriculum/CurriculumCard.tsx,What I've covered grid,Wide Year 1-11 lesson-count grid side-scrolls on a phone and shows coverage not mastery,3,weekly,CurriculumCard.tsx:170 and :217 and :135,Default to Year 10-11 columns for a GCSE pupil and colour cells by mastery band,child
C3-11,C3,5 finished early,/custdash/learninghub?tab=notes,features/learninghub/lesson/DoneStep.tsx,Lesson player,"Confetti XP pills and "Keep going! / Great work! / Brilliant!" in the lesson finish",2,weekly,DoneStep.tsx:12 and :40; LessonPlayer.tsx:292-316,Turn off confetti and XP for Year 9+ (a flag on the child's year),child
C3-12,C3,b messages,/custdash/learninghub?tab=questions,features/learninghub/QuestionsPanel.tsx,Family messages,"No photo attachment for working-out, and 3 taps (folder, thread, reply) to reach a thread",2,weekly,QuestionsPanel.tsx:265 and :352,Add an image attach button; open the newest unread thread by default,child
C3-13,C3,2 quiz,/custdash/learninghub?tab=quizzes,features/learninghub/shared-assess/StudentAssess.tsx,Quiz list,"Quizzes sorted by subject then title with no weak-topic or unfinished filter so I cannot pick what to revise",3,daily,StudentAssess.tsx:74,Add chips: Weakest topics / Unfinished / Retake,child
