id,persona,scenario,route,component_file,screen_area,friction,severity(1-4),frequency(daily/weekly/rare),evidence,suggested_fix,burden_type(tutor|child|parent|admin)
C1-01,C1 Year 1-2 child,S1,/custdash/learninghub?child=…,home/StudentHome.tsx,Kid Home,Kid Home is the parent dashboard: about 6 boxes and 30-45 words before the first button; the only 'what to do next' card is the LAST block,3,daily,"StudentHome.tsx:132-134,175,252","In kid mode put one huge 'Keep going' button with icon at the top; hide streak, level and stats boxes",child
C1-02,C1 Year 1-2 child,S1,/custdash/learninghub?child=…,lesson/slides/blocks.tsx,Audio (whole hub),No read-aloud for a pre-reader; speechSynthesis exists only inside one phonics block,4,daily,"lesson/slides/blocks.tsx:28-39,236","Add a speaker button on the Home CTA, question prompt and result headline using the existing speak()",child
C1-03,C1 Year 1-2 child,S1,/custdash/learninghub?child=…,HubTabs.tsx,Kid tab strip,Kid tabs are text-only 13px pills (icons hidden below 1024px); 'Starting quiz / Quizzes / Lessons' mean nothing to a 6-year-old,3,daily,"HubTabs.tsx:113; family/KidMode.tsx:15,20",Show icons at every width in kid mode and make tab labels bigger,child
C1-04,C1 Year 1-2 child,S1,/custdash/learninghub?child=…,home/StudentHome.tsx,Next lesson box,"Next-lesson button calls go('live'), which is not a kid tab, so the tap silently returns to Home",2,weekly,StudentHome.tsx:148; LearningHubApp.tsx:85,Hide or replace that tap target in kid mode,child
C1-05,C1 Year 1-2 child,S1,/custdash/learninghub?child=…,home/homeKit.tsx,Load error,"Error reads ""The server didn't respond within 15s (http://localhost:4000). Is the API running?"" in a red box; only 'Try again' is usable",3,rare,home/homeKit.tsx:130-131; lib/api.ts:130,In kid mode show 'Oops!' with one big Retry button and hide the technical text,child
C1-06,C1 Year 1-2 child,S2,/custdash/learninghub?child=…,shared-assess/TakeAssessment.tsx,Answering a real quiz,"No right/wrong reaction while answering, so no instant praise; correctness only shows at the end (Warm-up has it)",3,daily,"TakeAssessment.tsx:295-298; lesson/WarmupStep.tsx:17,114",Add a friendly per-question reaction (tick / 'try again') or at least a 'Saved!' animation,child
C1-07,C1 Year 1-2 child,S2,/custdash/learninghub?child=…,shared-assess/ResultView.tsx,Quiz result,"A miss is explained in percentages: 'You scored 40%, 25 points short of the 70% pass mark...' about 25 words",3,daily,"ResultView.tsx:114,126","Kid variant: stars, one line ('Nearly there!') and one big 'Try again' button; numbers under a grown-up fold",child
C1-08,C1 Year 1-2 child,S2,/custdash/learninghub?child=…,shared-assess/TakeAssessment.tsx,Hand in,"Hand-in takes 3 screens of reading: Review answers, 'Ready to hand in?', 'You still have N unanswered' popup",2,daily,"TakeAssessment.tsx:298,318-319,343-346",For kids go from the last question to one 'All done!' button,child
C1-09,C1 Year 1-2 child,S2,/custdash/learninghub?child=…,homework/StudentHomework.tsx,Homework detail,"'Take the quiz' sits below small-print instructions, far from the title",2,weekly,"StudentHomework.tsx:221,275",Put the main action directly under the title in kid mode,child
C1-10,C1 Year 1-2 child,S2,/custdash/learninghub?child=…,shared-assess/TakeAssessment.tsx,Retake / blocked,Retake copy is a sentence: 'One attempt only. Ask your tutor if you need another go.' / 'You can retake this in 2h',2,weekly,TakeAssessment.tsx:248-251,Big icon plus 'Ask a grown-up' instead of a sentence,child
C1-11,C1 Year 1-2 child,S5,/custdash/learninghub?child=…,flashcards/ReviewSession.tsx,Flashcard rating,Rating uses 'Again / Hard / Good / Easy' and keyboard hints; a 6-year-old can't self-grade,2,daily,flashcards/StudentFlashcards.tsx:139; ReviewSession.tsx:42,Kid mode: 3 faces (try again / nearly / got it) and spoken card text,child
C1-12,C1 Year 1-2 child,S5,/custdash/learninghub?child=…,shared-assess/TakeAssessment.tsx,After finishing,No 'what next' after a quiz/homework; only 'Back to quizzes' / 'Retake'. The all-done card appears on Home only when every quiz is done,3,daily,TakeAssessment.tsx:246-251; StudentHome.tsx:252-259,Reuse Home's `step` to show one big 'Next: Flashcards' button on every end screen,child
C1-13,C1 Year 1-2 child,S5,/custdash/learninghub?child=…,homework/StudentHomework.tsx,Cross-tab link,goToTab clicks hidden buttons by regex; failure text is 'Open the Flashcards tab at the top of this page.',2,weekly,StudentHomework.tsx:181; teachKit.tsx:310,Use the shell's go('flashcards'); no reading-only fallback,child
C1-14,C1 Year 1-2 child,S1,/custdash/learninghub?child=…,shared-assess/TakeAssessment.tsx,Quiz progress,Progress is 11.5px grey text ('Question 3 of 10 · 2 answered') and small number chips,1,daily,"TakeAssessment.tsx:274,310",Show a big bar or stars filling instead,child
C1-15,C1 Year 1-2 child,S2,/custdash/learninghub?child=…,shared-assess/QuestionView.tsx,Type/write questions,Typed or written answers need reading and typing ('Write your answer here. Your tutor will read and mark it.'),2,weekly,"QuestionView.tsx:114,121,130",Kid mode: photo or voice answer; or skip written questions for pre-readers,child
