id,persona,scenario,route,component_file,screen_area,friction,severity(1-4),frequency(daily/weekly/rare),evidence,suggested_fix,burden_type(tutor|child|parent|admin)
X3-01,X3 Information architect,All,/freelancer/learninghub,features/learninghub/panels.tsx,Tab strip,"11 tabs organised by data type not by tutor job; strip scrolls, last tab cut off at ~900px",4,daily,panels.tsx:31 TAB_ORDER; 01-inventory Summary; brief 7A.2 #1,"Collapse to 6 job tabs: Today, Students, Library, Teach, Progress, Messages",tutor
X3-02,X3 Information architect,"3,4,10",/freelancer/learninghub,features/learninghub/home/TutorHome.tsx,Assign,"Assign has 14 entry points and 3 code paths (shared intent, direct form, 2 direct-post mini-forms) so same verb behaves differently by origin",4,daily,"01-inventory Duplicate paths; HomeworkForLesson.tsx:80,108; inperson/api.ts:48","One global Assign sheet: what, who, when, done; delete the direct-post forms",tutor
X3-03,X3 Information architect,2,/freelancer/learninghub,features/learninghub/home/TutorHome.tsx,Mark,"Marking split over 3 queues (Homework To mark, Quizzes Marking, Placement Marking) plus Home rows that only jump tab",4,daily,TutorHome.tsx:168-171; 01-inventory Sub-tabs,One Mark queue on Today with Mark and next across types,tutor
X3-04,X3 Information architect,2,/freelancer/learninghub,features/learninghub/homework/MarkDialog.tsx,Mark,Mark and next exists only for homework; quiz written answers need open+save per item; clearing 9+7 costs ~28 clicks,3,daily,MarkDialog.tsx:12; click count table in X3-journal,Reuse Mark and next for all types; keyboard next,tutor
X3-05,X3 Information architect,1,/freelancer/learninghub,features/learninghub/home/TutorHome.tsx,Today,Home is a 10-block dashboard (~220 words) before tonight's task; answers 'how big is my catalogue' before 'what now',3,daily,01b Home row; brief 7A.1,"Today = next class, to mark, overdue/quiet, one Assign button; rest to Progress",tutor
X3-06,X3 Information architect,1,/freelancer/learninghub,features/learninghub/HubHero.tsx,Hero,"Four vanity stat tiles on Home (Lessons 7,894 = notes incl. boards/drafts, Subjects 7 = distinct topic strings, Worksheets 1 = attachments)",3,daily,"01c 1.1; ranked #3, #11",Delete tiles from Today; if kept define as isLesson && !board,tutor
X3-07,X3 Information architect,8,/freelancer/learninghub,features/learninghub/home/ClassSnapshot.tsx,Nudge,"'Needs a nudge' row is labelled Assign, opens the homework form with no student preselected; a nudge is a message not homework",3,weekly,ClassSnapshot.tsx:163-167; 01-inventory duplicate table,Inline Check in action with kind prefilled message to student/parent,tutor
X3-08,X3 Information architect,All,/freelancer/learninghub,features/learninghub/HubTabs.tsx,Nav depth,"Depth 3-4: side nav, tab, sub-tab (4 on Placement/Quizzes), filter chips, item",3,daily,01-inventory Sub-tabs; sitemap,Max depth 2 for daily jobs,tutor
X3-09,X3 Information architect,9,/freelancer/learninghub,features/learninghub/quiz/TutorAssess.tsx,Library,"Question bank identical under Quizzes and Placement (same object, two homes)",2,weekly,01-inventory Sub-tabs (TutorAssess.tsx:63),One Question bank inside Library,tutor
X3-10,X3 Information architect,"3,10",/freelancer/learninghub,features/learninghub/NotesPanel.tsx,Library,"Lessons, Quizzes, Flashcards, Placement, Tools each open on the whole catalogue (8,971 quizzes, 51,873 cards, 7,894 lessons) not the tutor's students",3,daily,brief 7A.2 #2; 01c section 4,"Scopes: Mine, Recent, For my students, All; default to students' years/subjects",tutor
